dataset_id,column_name,schema_type,column_name_ko,schema_example,total_rows,nonblank_count,coverage_ratio,blank_count,whitespace_only_count,sentinel_null_count,numeric_parseable_count,zero_count,negative_count,unique_count,numeric_min,numeric_max,date_like_min,date_like_max,sample_values,top_values
PRBD01N001,PD_NO,text,,,42394,42394,1.0,0,0,0,0,0,0,>10000,,,,,"[""KR101501DA16"", ""KR101501DA24"", ""KR101501DA32""]","[[""KR101501DA16"", 1], [""KR101501DA24"", 1], [""KR101501DA32"", 1], [""KR101501DA40"", 1], [""KR101501DA57"", 1], [""KR101501DA65"", 1], [""KR101501DA73"", 1], [""KR101501DA81"", 1], [""KR101501DA99"", 1], [""KR101501DAA7"", 1]]"
PRBD01N001,PD_EXG_MKT,text,,,42394,42394,1.0,0,0,0,0,0,0,2,,,,,"[""장내"", ""장외""]","[[""장내"", 24749], [""장외"", 17645]]"
PRBD01N001,PD_NM,text,,,42394,42394,1.0,0,0,0,0,0,0,>10000,,,,,"[""국민주택1종채권 20-01"", ""국민주택1종채권 20-02"", ""국민주택1종채권 20-03""]","[[""국민주택2종 2016-05"", 2], [""국민주택1종채권 20-01"", 1], [""국민주택1종채권 20-02"", 1], [""국민주택1종채권 20-03"", 1], [""국민주택1종채권 20-04"", 1], [""국민주택1종채권 20-05"", 1], [""국민주택1종채권 20-06"", 1], [""국민주택1종채권 20-07"", 1], [""국민주택1종채권 20-08"", 1], [""국민주택1종채권 20-09"", 1]]"
PRBD01N001,PD_ABRV_NM,text,,,42394,42029,0.99139,365,296,0,0,0,0,>10000,,,,,"[""국민주택1종20-01                        "", ""국민주택1종20-02                        "", ""국민주택1종20-03                        ""]","[[""국민주택2종16-05"", 2], [""국민주택1종20-01"", 1], [""국민주택1종20-02"", 1], [""국민주택1종20-03"", 1], [""국민주택1종20-04"", 1], [""국민주택1종20-05"", 1], [""국민주택1종20-06"", 1], [""국민주택1종20-07"", 1], [""국민주택1종20-08"", 1], [""국민주택1종20-09"", 1]]"
PRBD01N001,PD_ENG_NM,text,,,42394,42070,0.992357,324,298,0,0,0,0,>10000,,,,,"[""KOREA NATIONAL HOUSING BOND (Ⅰ)20-01                                           "", ""KOREA NATIONAL HOUSING BOND (Ⅰ)20-02                                           "", ""KOREA NATIONAL HOUSING BOND (Ⅰ)20-03                                           ""]","[[""KOREA NATIONAL HOUSING BOND (Ⅱ)16-05"", 2], [""KOREA NATIONAL HOUSING BOND (Ⅰ)20-01"", 1], [""KOREA NATIONAL HOUSING BOND (Ⅰ)20-02"", 1], [""KOREA NATIONAL HOUSING BOND (Ⅰ)20-03"", 1], [""KOREA NATIONAL HOUSING BOND (Ⅰ)20-04"", 1], [""KOREA NATIONAL HOUSING BOND (Ⅰ)20-05"", 1], [""KOREA NATIONAL HOUSING BOND (Ⅰ)20-06"", 1], [""KOREA NATIONAL HOUSING BOND (Ⅰ)20-07"", 1], [""KOREA NATIONAL HOUSING BOND (Ⅰ)20-08"", 1], [""KOREA NATIONAL HOUSING BOND (Ⅰ)20-09"", 1]]"
PRBD01N001,PD_ABRV_ENG_NM,text,,,42394,42024,0.991272,370,298,0,0,0,0,>10000,,,,,"[""KNHB (Ⅰ)20-01                          "", ""KNHB (Ⅰ)20-02                          "", ""KNHB (Ⅰ)20-03                          ""]","[[""KNHB (Ⅱ)16-05"", 2], [""KNHB (Ⅰ)20-01"", 1], [""KNHB (Ⅰ)20-02"", 1], [""KNHB (Ⅰ)20-03"", 1], [""KNHB (Ⅰ)20-04"", 1], [""KNHB (Ⅰ)20-05"", 1], [""KNHB (Ⅰ)20-06"", 1], [""KNHB (Ⅰ)20-07"", 1], [""KNHB (Ⅰ)20-08"", 1], [""KNHB (Ⅰ)20-09"", 1]]"
PRBD01N001,PD_CTRY_CD,text,,,42394,42394,1.0,0,0,0,0,0,0,2,,,,,"[""KR"", ""XS""]","[[""KR"", 42393], [""XS"", 1]]"
PRBD01N001,PD_PBCM,text,,,42394,41476,0.978346,918,0,0,0,0,0,8018,,,,,"[""대한민국                            "", ""대한민국                            "", ""대한민국                            ""]","[[""한국주택금융공사"", 2384], [""한국산업은행"", 1076], [""(주)중소기업은행"", 720], [""대한민국"", 535], [""한국토지주택공사"", 534], [""한국전력공사(주)"", 511], [""한국수출입은행"", 365], [""한국도로공사"", 359], [""(주)신한은행"", 296], [""한국장학재단"", 254]]"
PRBD01N001,STD_PD_MCLS_NM,text,,,42394,42394,1.0,0,0,0,0,0,0,6,,,,,"[""국공채"", ""회사채"", ""특수채""]","[[""회사채"", 31447], [""특수채"", 8755], [""국공채"", 2137], [""개인투자용국채"", 49], [""외화채권-회사채"", 5], [""외화채권-금융채"", 1]]"
PRBD01N001,STD_PD_SCLS_NM,text,,,42394,42381,0.999693,13,0,0,0,0,0,16,,,,,"[""국민주택"", ""일반사채"", ""특수은행채""]","[[""일반사채"", 30958], [""공사채"", 5386], [""특수은행채"", 2436], [""지역개발"", 1266], [""은행채"", 1247], [""국고채"", 312], [""도시철도"", 240], [""국민주택"", 147], [""공모지방채"", 125], [""중앙은행채"", 101]]"
PRBD01N001,BD_KND,text,,,42394,41470,0.978204,924,0,0,0,0,0,39,,,,,"[""국민주택1종                   "", ""국민주택1종                   "", ""국민주택1종                   ""]","[[""일반회사채"", 13998], [""할부금융채"", 4677], [""일반특수법인채"", 3019], [""유동화회사채"", 2798], [""Conduit회사채"", 2792], [""신용카드채"", 2520], [""특수은행채"", 2398], [""MBS"", 2159], [""지역개발채"", 1266], [""일반은행채"", 1253]]"
PRBD01N001,CURR_CD,text,,,42394,42394,1.0,0,0,0,1,1,0,5,0,0,,,"[""KRW"", ""EUR"", ""USD""]","[[""KRW"", 42372], [""USD"", 19], [""EUR"", 1], [""JPY"", 1], [""000"", 1]]"
PRBD01N001,ISU_BAL_AMT,double precision,,,42394,42394,1.0,0,0,0,42394,4942,0,4452,0,46971000000000,,,"[1397549160000, 1621087290000, 1559671920000]","[[""0"", 4942], [""60000000000"", 1009], [""90000000000"", 572], [""400000000000"", 132], [""2000000000000"", 24], [""800000000000"", 12], [""1000000000000"", 7], [""900000000000"", 6], [""1200000000000"", 4], [""2500000000000"", 3]]"
PRBD01N001,ISU_DT,double precision,,,42394,42391,0.999929,3,0,0,42391,336,0,3146,0,20260330,19941229,20260330,"[20200131, 20200229, 20200331]","[[""20250626"", 602], [""20250529"", 358], [""0"", 336], [""20250327"", 262], [""20250612"", 149], [""20250430"", 121], [""20250630"", 111], [""20251031"", 106], [""20241031"", 96], [""20240430"", 92]]"
PRBD01N001,MAT_DT,double precision,,,42394,42391,0.999929,3,0,0,42391,316,0,5351,0,99991231,20020629,99991231,"[20250131, 20250228, 20250331]","[[""0"", 316], [""20250626"", 223], [""20250228"", 116], [""20250630"", 93], [""20250430"", 92], [""20260430"", 84], [""20260630"", 82], [""20250930"", 71], [""20260424"", 68], [""20260331"", 66]]"
PRBD01N001,SRFC_IRT,double precision,,,42394,42392,0.999953,2,0,0,42392,2758,0,5676,0,34.277,,,"[1, 0, 1.3]","[[""0"", 2758], [""2.5"", 738], [""1.05"", 678], [""2"", 416], [""3"", 314], [""1"", 282], [""4"", 275], [""8"", 201], [""3.2"", 132], [""3.5"", 120]]"
PRBD01N001,PD_EVCO_CRD_GRD,text,,,42394,24966,0.588904,17428,0,0,0,0,0,100,,,,,"[""AAA, AAA, AAA"", ""BB"", ""AAA, AAA""]","[[""AAA, AAA, AAA"", 6427], [""AA-, AA-, AA-"", 4118], [""AAA, AAA"", 4065], [""AA+, AA+, AA+"", 2533], [""AAA"", 1745], [""AA-, AA-"", 759], [""AA, AA"", 732], [""AA, AA, AA"", 695], [""A+, A+"", 598], [""AA+, AA+"", 451]]"
PRBD01N001,PD_RISK_GCD,bigint,,,42394,42394,1.0,0,0,0,42394,58,0,7,0,6,,,"[6, 1, 2]","[[""1"", 15950], [""5"", 13696], [""6"", 10408], [""4"", 1938], [""3"", 282], [""2"", 62], [""0"", 58]]"
PRBD01N001,PD_STD_INFO_UPDATE,double precision,,,42394,31823,0.750649,10571,0,0,31823,0,0,910,20181005,20260224,20181005,20260224,"[20250203, 20250304, 20250401]","[[""20260224"", 20160], [""20250529"", 195], [""20250131"", 162], [""20250304"", 116], [""20260202"", 98], [""20251106"", 98], [""20260219"", 97], [""20250901"", 96], [""20250630"", 95], [""20250602"", 94]]"
PRBD01N001,BUY_YIELD,double precision,,,42394,881,0.020781,41513,0,0,881,0,0,539,1.705,5.57,,,"[3.2, 3.28, 3.35]","[[""3.5"", 11], [""2.68"", 11], [""2.75"", 9], [""2.64"", 8], [""3.09"", 8], [""3.05"", 7], [""3.37"", 7], [""3.35"", 6], [""3.42"", 6], [""3.31"", 6]]"
PRBD01N001,CORP_PRETAX_YIELD,double precision,,,42394,881,0.020781,41513,0,0,881,0,1,829,-0.7589,6.6492,,,"[3.1986, 3.2808, 3.3524]","[[""2.1716"", 2], [""2.6081"", 2], [""2.7048"", 2], [""2.784"", 2], [""3.3711"", 2], [""3.4277"", 2], [""3.6037"", 2], [""3.0452"", 2], [""3.7512"", 2], [""3.0265"", 2]]"
PRBD01N001,CORP_AFTER_TAX_YIELD,double precision,,,42394,881,0.020781,41513,0,0,881,0,1,829,-0.7589,6.0847,,,"[3.0415, 3.123, 3.1947]","[[""3.1947"", 2], [""1.9709"", 2], [""2.6255"", 2], [""2.8219"", 2], [""3.2129"", 2], [""3.4437"", 2], [""3.0415"", 1], [""3.123"", 1], [""3.2082"", 1], [""2.5702"", 1]]"
PRBD01N001,AFTER_TAX_YIELD,double precision,,,42394,881,0.020781,41513,0,0,881,0,1,828,-1.1514,6.0847,,,"[3.0415, 3.123, 3.1947]","[[""3.1947"", 2], [""1.9709"", 2], [""2.6255"", 2], [""2.8219"", 2], [""3.2129"", 2], [""3.4437"", 2], [""3.0415"", 1], [""3.123"", 1], [""3.2082"", 1], [""2.5702"", 1]]"
PRBD01N001,PREF_TAX_YIELD,double precision,,,42394,881,0.020781,41513,0,0,881,0,1,836,-0.7589,6.301,,,"[3.1017, 3.1834, 3.2551]","[[""2.7766"", 4], [""3.5899"", 3], [""2.0478"", 2], [""3.3383"", 2], [""2.4556"", 2], [""2.592"", 2], [""3.1017"", 1], [""3.1834"", 1], [""3.2551"", 1], [""3.269"", 1]]"
