canonical_field,scope,source_table,source_field,source_role,data_type,unit_status,allowed_ops,filter_policy,sort_policy,quality_policy,as_of_field,notes
product.id,bond,PRBD01N001,PD_NO,PRIMARY_ID,string,IDENTIFIER,eq|in|starts_with,ALLOWED,ALLOWED,REQUIRED_UNIQUE,NONE,42 394 unique
product.market,bond,PRBD01N001,PD_EXG_MKT,DIMENSION,string,CATEGORY,eq|in,ALLOWED,ALLOWED,VALID,NONE,
product.name,bond,PRBD01N001,PD_NM,PRIMARY_NAME,string,TEXT,eq|contains|starts_with,ALLOWED,ALLOWED,AMBIGUITY_CHECK,NONE,name is not an ID
product.alias.short_name,bond,PRBD01N001,PD_ABRV_NM,ALIAS_NAME,string,TEXT,eq|contains|starts_with,ALLOWED,ALLOWED,TRIM_WHITESPACE,NONE,
product.alias.english_name,bond,PRBD01N001,PD_ENG_NM,ALIAS_NAME,string,TEXT,eq|contains|starts_with,ALLOWED,ALLOWED,TRIM_WHITESPACE,NONE,
product.alias.english_short_name,bond,PRBD01N001,PD_ABRV_ENG_NM,ALIAS_NAME,string,TEXT,eq|contains|starts_with,ALLOWED,ALLOWED,TRIM_WHITESPACE,NONE,
product.country_code,bond,PRBD01N001,PD_CTRY_CD,DIMENSION,string,COUNTRY_CODE,eq|in,ALLOWED,ALLOWED,VALID,NONE,
product.issuer,bond,PRBD01N001,PD_PBCM,DIMENSION,string,TEXT,eq|contains|starts_with,ALLOWED,ALLOWED,TRIM_WHITESPACE,NONE,
product.asset_class,bond,PRBD01N001,STD_PD_MCLS_NM,DIMENSION,string,CATEGORY,eq|in|contains,ALLOWED,ALLOWED,VALID,NONE,official raw major class
product.asset_subclass,bond,PRBD01N001,STD_PD_SCLS_NM,DIMENSION,string,CATEGORY,eq|in|contains,ALLOWED,ALLOWED,MISSING_ALLOWED,NONE,official raw minor class
bond.kind,bond,PRBD01N001,BD_KND,DIMENSION,string,CATEGORY,eq|in|contains,ALLOWED,ALLOWED,MISSING_ALLOWED,NONE,
product.currency,bond,PRBD01N001,CURR_CD,DIMENSION,string,CURRENCY_CODE,eq|in,ALLOWED,ALLOWED,INVALID_CODE_FLAG,NONE,000 is invalid or unknown
bond.issue_amount,bond,PRBD01N001,ISU_BAL_AMT,METRIC,decimal,PENDING_CONFIRMATION,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_POLICY,ZERO_UNKNOWN,NONE,unit and zero semantics OPEN
bond.issue_date,bond,PRBD01N001,ISU_DT,DIMENSION,date,YYYYMMDD,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED,SENTINEL_0,NONE,preserve raw numeric date
bond.maturity_date,bond,PRBD01N001,MAT_DT,DIMENSION,date,YYYYMMDD,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED,SENTINEL_0_99991231_OPEN,NONE,
bond.coupon_rate,bond,PRBD01N001,SRFC_IRT,METRIC,decimal,PERCENTAGE_POINT_PENDING,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_OUTLIER_REVIEW,SUSPECT_OUTLIER,NONE,max 34.277
bond.evaluator_credit_rating,bond,PRBD01N001,PD_EVCO_CRD_GRD,DIMENSION,string,RATING,eq|in|contains,ALLOWED,BLOCKED_PENDING_ORDER,MISSING_ALLOWED,CRD_GRD_DT,multiple evaluator ratings may be concatenated
bond.risk_grade,bond,PRBD01N001,PD_RISK_GCD,DIMENSION,string,CODE,eq|in,ALLOWED,BLOCKED_PENDING_ORDER,ZERO_UNKNOWN,NONE,direction OPEN
bond.product_info_as_of,bond,PRBD01N001,PD_STD_INFO_UPDATE,AS_OF,date,YYYYMMDD,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED,MISSING_ALLOWED,NONE,field-level product information date
bond.buy_yield,bond,PRBD01N001,BUY_YIELD,METRIC,decimal,PERCENTAGE_POINT_PENDING,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_COVERAGE,PARTIAL_881,NONE,
bond.corporate_pretax_yield,bond,PRBD01N001,CORP_PRETAX_YIELD,METRIC,decimal,PERCENTAGE_POINT_PENDING,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_COVERAGE,PARTIAL_881,NONE,
bond.corporate_after_tax_yield,bond,PRBD01N001,CORP_AFTER_TAX_YIELD,METRIC,decimal,PERCENTAGE_POINT_PENDING,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_COVERAGE,PARTIAL_881,NONE,
bond.after_tax_yield,bond,PRBD01N001,AFTER_TAX_YIELD,METRIC,decimal,PERCENTAGE_POINT_PENDING,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_COVERAGE,PARTIAL_881,NONE,
bond.preferential_tax_yield,bond,PRBD01N001,PREF_TAX_YIELD,METRIC,decimal,PERCENTAGE_POINT_PENDING,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_COVERAGE,PARTIAL_881,NONE,
