metric_id,display_name_ko,scope,source_table,source_field,coverage_count,coverage_ratio,period,unit_status,zero_policy,ranking_allowed,cross_product_allowed,quality_status,notes
bond.issue_amount,발행잔액,bond,PRBD01N001,ISU_BAL_AMT,42394,1.000000,point_in_time,PENDING_CONFIRMATION,FIELD_POLICY_REQUIRED,true,false,USABLE,"0값 4,942건 의미 확인"
bond.issue_date,발행일,bond,PRBD01N001,ISU_DT,42391,0.999929,date,YYYYMMDD,SENTINEL_0,false,false,PARTIAL,"0값 336·공란 3"
bond.maturity_date,만기일,bond,PRBD01N001,MAT_DT,42391,0.999929,date,YYYYMMDD,SENTINEL_0_99991231_PENDING,false,false,PARTIAL,"99991231 sentinel 후보·정확한 의미 설명회 확인"
bond.coupon_rate,표면금리,bond,PRBD01N001,SRFC_IRT,42392,0.999953,annual,PERCENTAGE_POINT_PENDING,FIELD_POLICY_REQUIRED,true,false,USABLE_WITH_OUTLIER_REVIEW,"최대 34.277"
bond.risk_grade,위험등급,bond,PRBD01N001,PD_RISK_GCD,42394,1.000000,point_in_time,CODE,ZERO_UNKNOWN,false,false,PENDING_ORDER_POLICY,"코드 방향 확인 전 순위·교차 비교 잠금"
bond.credit_rating,신용등급,bond,PRBD01N001,CRD_GRD,24750,0.583809,point_in_time,RATING,NOT_APPLICABLE,false,false,PENDING_ORDER_POLICY,"등급순서 확인 전 순위 잠금·결측 41.62%"
bond.buy_yield,매수수익률,bond,PRBD01N001,BUY_YIELD,881,0.020781,point_in_time,PERCENTAGE_POINT_PENDING,FIELD_POLICY_REQUIRED,true,false,PARTIAL_WITH_COVERAGE,"유효 모집단 881"
bond.buyable_quantity,매수가능수량,bond,PRBD01N001,BUYABLE_QUANTITY,881,0.020781,point_in_time,COUNT,FIELD_POLICY_REQUIRED,true,false,PARTIAL_WITH_COVERAGE,"양수 325·0값 556"
bond.avg_annual_tax_yield,평균연환산세후수익률,bond,PRBD01N001,AVG_ANNUAL_TAX_YIELD,881,0.020781,point_in_time,PERCENTAGE_POINT_PENDING,UNUSABLE_CONSTANT,false,false,UNUSABLE_CONSTANT,"유효 881건 전부 0"
bond.remaining_days_raw,원본잔존일,bond,PRBD01N001,REMAINING_DAYS,31749,0.748903,point_in_time,DAYS,ZERO_UNKNOWN,true,false,STALE_RISK,"과거 만기인데 양수인 사례 있음"
bond.duration,듀레이션,bond,PRBD01N001,DUR,29018,0.684484,point_in_time,YEARS_PENDING,ZERO_UNKNOWN,true,false,PARTIAL_WITH_COVERAGE,"결측 31.55%"
bond.evaluation_price,평가가격,bond,PRBD01N001,EVAL_PRICE,31823,0.750649,point_in_time,PRICE_PENDING,ZERO_UNKNOWN,true,false,PARTIAL_WITH_COVERAGE,"실시간 가격 아님"
domestic_etp.base_index,기초지수,domestic_etp,PREF01N001,cu_base_index,58,0.033449,point_in_time,TEXT,NOT_APPLICABLE,false,false,SEVERELY_PARTIAL,"coverage 3.34%"
domestic_etp.expense_ratio,총보수,domestic_etp,PREF01N001,cu_charge_rt,217,0.125144,annual,PERCENTAGE_POINT_PENDING,ZERO_UNKNOWN,false,false,PENDING_ZERO_POLICY,"유효 217 중 0값 150·ETN 값 없음·순위/교차비교 잠금"
domestic_etp.return_1d,1일수익률,domestic_etp,PREF01N001,du_er_1d,1562,0.900807,1d,PERCENTAGE_POINT_PENDING,ZERO_VALID_PENDING,true,false,PARTIAL_WITH_COVERAGE,"동일 기간 내 비교"
domestic_etp.return_1m,1개월수익률,domestic_etp,PREF01N001,du_er_1m,1540,0.888120,1m,PERCENTAGE_POINT_PENDING,ZERO_VALID_PENDING,true,false,PARTIAL_WITH_OUTLIER_REVIEW,"-100 값 검토"
domestic_etp.return_3m,3개월수익률,domestic_etp,PREF01N001,du_er_3m,1505,0.867935,3m,PERCENTAGE_POINT_PENDING,ZERO_VALID_PENDING,true,false,PARTIAL_WITH_OUTLIER_REVIEW,"최대 350.19"
domestic_etp.return_6m,6개월수익률,domestic_etp,PREF01N001,du_er_6m,1476,0.851211,6m,PERCENTAGE_POINT_PENDING,ZERO_VALID_PENDING,true,false,PARTIAL_WITH_OUTLIER_REVIEW,"최대 818.57"
domestic_etp.return_1y,1년수익률,domestic_etp,PREF01N001,du_er_1y,1377,0.794118,1y,PERCENTAGE_POINT_PENDING,ZERO_VALID_PENDING,true,false,PARTIAL_WITH_OUTLIER_REVIEW,"최대 2738.95·교차비교 잠금"
domestic_etp.return_ytd,YTD수익률,domestic_etp,PREF01N001,du_er_ytd,1477,0.851788,ytd,PERCENTAGE_POINT_PENDING,ZERO_VALID_PENDING,true,false,PARTIAL_WITH_OUTLIER_REVIEW,"동일 기준일 필요"
domestic_etp.aum_last,최종AUM,domestic_etp,PREF01N001,du_last_aum,1453,0.837947,point_in_time,KRW_PENDING,ZERO_UNKNOWN,true,false,PARTIAL,"0값 411·ETN 유효 409 모두 0·교차비교 잠금"
domestic_etp.net_assets,순자산총액,domestic_etp,PREF01N001,pd_net_tamt,1551,0.894464,point_in_time,KRW_PENDING,FIELD_POLICY_REQUIRED,true,false,PARTIAL,"AUM 우선필드 설명회 확인·교차비교 잠금"
