rule_id,priority,scope,source_table,match_stage,condition_expr,action,quality_status,matched_raw_rows,matched_product_rows,serving_effect,reason,evidence,review_state
Q-DOM-001,10,domestic_etp,PREF01N001,EXACT_SOURCE,excel_row=1155 AND pd_itm_no=KR AND pd_nm=.,QUARANTINE,DAMAGED_OR_PLACEHOLDER,1,1,-1 product,placeholder identity and core listing fields missing,Excel row1155|pd_itm_no KR|pd_itm_no_ma A0193MO,LOCKED
Q-OVS-001,10,overseas_etp,PREF02N001,EXACT_SOURCE,pd_itm_no IN [XW|BTCK.K|BAY|BZZ|AV|ONX|PINC.K|OWN] AND pd_lstg_dt=00000000,QUARANTINE,PLACEHOLDER,8,8,-8 products,zero listing date plus missing sale and price with blank metadata,Excel rows1956|2110|2219|2350|2439|2639|3684|5119,LOCKED
Q-FUND-001,10,fund,PRFD01N001,EXACT_SOURCE,excel_row=84563 AND itm_no=DOUBLE_QUOTE,QUARANTINE,DAMAGED_ROW,1,1,-1 bridge row and -1 product,column shift corrupts identifiers and risk fields,Excel row84563|exchdg_yn 00080008|risk code 00020054|risk name 06,LOCKED
F-OVS-001,20,overseas_etp,PREF02N001,EXACT_SOURCE,pd_itm_no=TBF,KEEP_WITH_FLAG,PARTIAL,1,1,0,valid identity manager strategy ISIN and AUM but price and sale status missing,Excel row4323|product currency INR|trading currency USD,OPEN_REVIEW
F-OVS-002,20,overseas_etp,PREF02N001,EXACT_SOURCE,pd_itm_no=EMOP.K,KEEP_WITH_FLAG,PARTIAL,1,1,0,valid identity manager strategy AUM and fee but ISIN price and sale status missing,Excel row5312,OPEN_REVIEW
F-DOM-001,20,domestic_etp,PREF01N001,EXACT_SOURCE,pd_itm_no=KRG597100145,KEEP_WITH_FLAG,SUSPECT_DATE_PARTIAL,1,1,0,listing date 10001231 is suspect while identity type and status are usable,Excel row1381|pd_itm_no_ma Q590014,OPEN_REVIEW
R-ALL-001,50,all,ALL,POST_PARSE,primary_id IS NULL OR primary_id IS BLANK,REVIEW_ONLY,INVALID_ID,OPEN,OPEN,0 until approved,new missing primary IDs must not be silently dropped or repaired,drift guard,OPEN
R-ALL-002,50,all,ALL,POST_PARSE,primary_id DUPLICATE WITHIN source_table,FAIL_BUILD,DUPLICATE_PRIMARY_ID,OPEN,OPEN,build blocked,source PK drift invalidates deterministic lookup,drift guard,OPEN
R-DATE-001,50,domestic_etp|overseas_etp,PREF01N001|PREF02N001,POST_PARSE,listing_date_raw IN [0|00000000|10001231|99991231],REVIEW_ONLY,SENTINEL_OR_SUSPECT_DATE,OPEN,OPEN,0 until approved,do not infer or repair date semantics,new rows require explicit policy,OPEN
R-FUND-001,50,fund,PRFD01N001,POST_PARSE,same itm_no has conflicting scalar fields excluding prfd_attr_cd,FAIL_BUILD,SCALAR_CONFLICT,OPEN,OPEN,build blocked,fund product collapse is only safe when scalar fields agree,reconciliation guard,OPEN
R-FUND-002,50,fund,PRFD01N001,POST_PARSE,prfd_attr_cd missing OR duplicate [itm_no|prfd_attr_cd],FAIL_BUILD,INVALID_BRIDGE_KEY,OPEN,OPEN,build blocked,fund attribute bridge key must remain complete and unique,reconciliation guard,OPEN
R-SOURCE-001,50,all,ALL,PRE_BUILD,raw row count differs from [42394|1734|5646|95619],FAIL_BUILD,SOURCE_COUNT_DRIFT,OPEN,OPEN,build blocked,official source version changed and policies need review,PRBD42394|PREF01 1734|PREF02 5646|PRFD 95619,OPEN
R-SOURCE-002,50,all,ALL,PRE_BUILD,source SHA256 differs from manifest,FAIL_BUILD,SOURCE_HASH_DRIFT,OPEN,OPEN,build blocked,immutable official source changed,official_data.zip c3809aca73396f57242ded0188fa06a3d271bd4ad65010e53d5533efc7c18163,OPEN
