term_ko,canonical_target,target_kind,scope,match_policy,ambiguity_policy,notes
국내채권,bond,SCOPE,bond,EXACT,NONE,
채권,bond,SCOPE,bond,EXACT,CLARIFY_IF_CROSS_SCOPE,
회사채,product.asset_class,FILTER,bond,EXACT,NONE,raw value 회사채
국공채,product.asset_class,FILTER,bond,EXACT,NONE,raw value 국공채
특수채,product.asset_class,FILTER,bond,EXACT,NONE,raw value 특수채
개인투자용국채,product.asset_class,FILTER,bond,EXACT,NONE,
장내채권,product.market,FILTER,bond,EXACT,NONE,raw market 장내
장외채권,product.market,FILTER,bond,EXACT,NONE,raw market 장외
국내ETF,domestic_etp,SCOPE,domestic_etp,EXACT,TYPE_FILTER_ETF,
국내 ETF,domestic_etp,SCOPE,domestic_etp,NORMALIZED_EXACT,TYPE_FILTER_ETF,
국내ETN,domestic_etp,SCOPE,domestic_etp,EXACT,TYPE_FILTER_ETN,
국내 ETN,domestic_etp,SCOPE,domestic_etp,NORMALIZED_EXACT,TYPE_FILTER_ETN,
국내ETP,domestic_etp,SCOPE,domestic_etp,EXACT,TYPE_FILTER_ETP,
국내 ETP,domestic_etp,SCOPE,domestic_etp,NORMALIZED_EXACT,TYPE_FILTER_ETP,
해외ETF,overseas_etp,SCOPE,overseas_etp,EXACT,TYPE_FILTER_ETF,
해외 ETF,overseas_etp,SCOPE,overseas_etp,NORMALIZED_EXACT,TYPE_FILTER_ETF,
해외ETN,overseas_etp,SCOPE,overseas_etp,EXACT,TYPE_FILTER_ETN,
해외 ETN,overseas_etp,SCOPE,overseas_etp,NORMALIZED_EXACT,TYPE_FILTER_ETN,
해외ETP,overseas_etp,SCOPE,overseas_etp,EXACT,TYPE_FILTER_ETP,
해외 ETP,overseas_etp,SCOPE,overseas_etp,NORMALIZED_EXACT,TYPE_FILTER_ETP,
ETF,etp,SCOPE,domestic_etp|overseas_etp,EXACT,CLARIFY_DOMESTIC_OR_OVERSEAS,
ETN,etp,SCOPE,domestic_etp|overseas_etp,EXACT,CLARIFY_DOMESTIC_OR_OVERSEAS,
ETP,etp,SCOPE,domestic_etp|overseas_etp,EXACT,CLARIFY_DOMESTIC_OR_OVERSEAS,
공모펀드,fund,SCOPE,fund,EXACT,DEFAULT_PUBLIC_ONLY,
공모 펀드,fund,SCOPE,fund,NORMALIZED_EXACT,DEFAULT_PUBLIC_ONLY,
펀드,fund,SCOPE,fund,EXACT,DEFAULT_PUBLIC_ONLY,
사모펀드,product.public_private,FILTER,fund,EXACT,NONE,raw value 사모
상품명,product.name,FIELD,all,EXACT,NONE,
종목명,product.name,FIELD,all,EXACT,NONE,
이름,product.name,FIELD,all,EXACT,NONE,
상품번호,product.id,FIELD,all,EXACT,NONE,
종목번호,product.id,FIELD,all,EXACT,NONE,
상품코드,product.id,FIELD,all,EXACT,NONE,
ISIN,product.alias.isin,FIELD,overseas_etp,CASE_INSENSITIVE,NONE,alias only
표준종목번호,product.alias.standard_id,FIELD,fund,EXACT,NONE,
예탁원종목번호,product.alias.ksd_id,FIELD,fund,EXACT,NONE,
발행사,product.issuer,FIELD,bond,EXACT,NONE,
운용사,product.manager,FIELD,domestic_etp|overseas_etp,EXACT,UNAVAILABLE_FOR_FUND,fund has manager code only
운용회사,product.manager,FIELD,domestic_etp|overseas_etp,EXACT,UNAVAILABLE_FOR_FUND,
운용사코드,product.manager_code,FIELD,fund,EXACT,CODE_ONLY,
자산군,product.asset_class,FIELD,all,EXACT,DO_NOT_MERGE_CROSS_SCOPE_SCALES,
투자자산군,product.asset_class,FIELD,domestic_etp|overseas_etp,EXACT,NONE,
펀드유형,product.asset_class,FIELD,fund,EXACT,NONE,
투자지역,product.investment_region,FIELD,domestic_etp|overseas_etp|fund,EXACT,DO_NOT_TRANSLATE_AUTOMATICALLY,
지역,product.investment_region,FIELD,domestic_etp|overseas_etp|fund,EXACT,CLARIFY_IF_AMBIGUOUS,
통화,product.currency,FIELD,all,EXACT,CLARIFY_PRODUCT_OR_TRADING_CURRENCY,
상품통화,product.currency,FIELD,overseas_etp|fund,EXACT,NONE,
거래통화,product.trading_currency,FIELD,overseas_etp,EXACT,NONE,
거래소,product.exchange_name,FIELD,domestic_etp|overseas_etp,EXACT,NONE,
시장,product.market_name,FIELD,domestic_etp|overseas_etp,EXACT,CLARIFY_WITH_BOND_MARKET,
상장일,product.listing_date,FIELD,domestic_etp|overseas_etp,EXACT,NONE,
거래종료일,product.trading_end_date,FIELD,domestic_etp,EXACT,NONE,
판매중,product.sale_status,FILTER,domestic_etp|overseas_etp|fund,EXACT,SCOPE_SPECIFIC_VALUE_MAPPING,
판매완료,product.sale_status,FILTER,fund,EXACT,NONE,
판매여부,product.sale_status,FIELD,domestic_etp|overseas_etp|fund,EXACT,SCOPE_SPECIFIC_VALUE_MAPPING,
당사판매,product.mirae_sale_flag,FIELD,fund,EXACT,NONE,
거래정지,product.trading_halt_status,FIELD,domestic_etp|overseas_etp,EXACT,PENDING_CODE_DIRECTION,
핵심ETF,product.core_flag,FILTER,domestic_etp|overseas_etp,EXACT,COVERAGE_WARNING_OVERSEAS,
연금가능,product.pension_trade_eligible,FILTER,domestic_etp,EXACT,NONE,
연금거래가능,product.pension_trade_eligible,FILTER,domestic_etp,EXACT,NONE,
연금,product.pension_trade_eligible,FILTER,domestic_etp,EXACT,CLARIFY_ELIGIBILITY_OR_RISK,
연금위험,product.pension_risk_class,FIELD,domestic_etp,EXACT,NONE,
위험등급,product.risk_grade_name,FIELD,domestic_etp|fund|bond,EXACT,DO_NOT_COMPARE_CROSS_SCOPE,
투자위험등급,fund.risk_grade_name,FIELD,fund,EXACT,NONE,
신용등급,bond.credit_rating,FIELD,bond,EXACT,PENDING_ORDER_FOR_RANK,
쿠폰,bond.coupon_rate,METRIC,bond,EXACT,NONE,
표면금리,bond.coupon_rate,METRIC,bond,EXACT,NONE,
발행잔액,bond.issue_amount,METRIC,bond,EXACT,PENDING_UNIT,
발행액,bond.issue_amount,METRIC,bond,EXACT,PENDING_UNIT,
발행일,bond.issue_date,FIELD,bond,EXACT,NONE,
만기일,bond.maturity_date,FIELD,bond,EXACT,SENTINEL_WARNING,
만기,bond.maturity_date,FIELD,bond,EXACT,CLARIFY_DATE_OR_REMAINING_DAYS,
잔존일,bond.remaining_days_raw,METRIC,bond,EXACT,FIELD_AS_OF_WARNING,
잔존기간,bond.remaining_days_raw,METRIC,bond,EXACT,FIELD_AS_OF_WARNING,
듀레이션,bond.duration,METRIC,bond,EXACT,PENDING_UNIT,
컨벡서티,bond.convexity,METRIC,bond,EXACT,PENDING_UNIT,
매수수익률,bond.buy_yield,METRIC,bond,EXACT,COVERAGE_WARNING,
매수가능수량,bond.buyable_quantity,METRIC,bond,EXACT,ZERO_POLICY_OPEN,
평가가격,bond.evaluation_price,METRIC,bond,EXACT,NOT_REALTIME,
적용수익률,bond.applied_yield,METRIC,bond,EXACT,OUTLIER_WARNING,
기초지수,domestic_etp.benchmark,METRIC,domestic_etp,EXACT,LOW_COVERAGE,
벤치마크,benchmark,FIELD,domestic_etp|overseas_etp|fund,EXACT,SCOPE_REQUIRED,
추종지수,benchmark,FIELD,domestic_etp|overseas_etp|fund,EXACT,SCOPE_REQUIRED,
운용전략,strategy,FIELD,domestic_etp|overseas_etp,EXACT,SCOPE_REQUIRED,
