metric_id,scope,source_table,source_field,raw_denominator,present_count,valid_count,serving_denominator,serving_present_count,type_specific_universe,type_specific_denominator,type_specific_present_count,rankable_denominator,unit_status,zero_policy,ranking_policy,cross_product_policy,policy_state,notes
bond.issue_amount,bond,PRBD01N001,ISU_BAL_AMT,42394,42394,OPEN,42394,42394,bond_serving,42394,42394,0,PENDING_CONFIRMATION,ZERO_UNKNOWN,BLOCKED_PENDING_UNIT,BLOCKED,OPEN,4942 zeros
bond.issue_date,bond,PRBD01N001,ISU_DT,42394,42391,42055,42394,42391,bond_serving,42394,42391,0,YYYYMMDD,SENTINEL_0,NOT_RANKED,BLOCKED,LOCKED,336 zero sentinels and 3 blank
bond.maturity_date,bond,PRBD01N001,MAT_DT,42394,42391,OPEN,42394,42391,bond_serving,42394,42391,0,YYYYMMDD,SENTINEL_0_99991231_OPEN,NOT_RANKED,BLOCKED,OPEN,316 zero and 99991231 semantics OPEN
bond.coupon_rate,bond,PRBD01N001,SRFC_IRT,42394,42392,OPEN,42394,42392,bond_serving,42394,42392,42392,PERCENTAGE_POINT_PENDING,FIELD_POLICY_REQUIRED,ALLOWED_WITH_OUTLIER_REVIEW,BLOCKED,OPEN,max 34.277 and unit OPEN
bond.risk_grade,bond,PRBD01N001,PD_RISK_GCD,42394,42394,OPEN,42394,42394,bond_serving,42394,42394,0,CODE,ZERO_UNKNOWN,BLOCKED_PENDING_ORDER,BLOCKED,OPEN,58 zeros and direction OPEN
bond.credit_rating,bond,PRBD01N001,CRD_GRD,42394,24750,24750,42394,24750,bond_with_rating,24750,24750,0,RATING,NOT_APPLICABLE,BLOCKED_PENDING_ORDER,BLOCKED,OPEN,rating order OPEN
bond.buy_yield,bond,PRBD01N001,BUY_YIELD,42394,881,881,42394,881,bond_with_buy_yield,881,881,881,PERCENTAGE_POINT_PENDING,FIELD_POLICY_REQUIRED,ALLOWED_WITH_COVERAGE,BLOCKED,OPEN,coverage 2.08 percent
bond.corporate_pretax_yield,bond,PRBD01N001,CORP_PRETAX_YIELD,42394,881,881,42394,881,bond_with_value,881,881,881,PERCENTAGE_POINT_PENDING,FIELD_POLICY_REQUIRED,ALLOWED_WITH_COVERAGE,BLOCKED,OPEN,
bond.corporate_after_tax_yield,bond,PRBD01N001,CORP_AFTER_TAX_YIELD,42394,881,881,42394,881,bond_with_value,881,881,881,PERCENTAGE_POINT_PENDING,FIELD_POLICY_REQUIRED,ALLOWED_WITH_COVERAGE,BLOCKED,OPEN,
bond.after_tax_yield,bond,PRBD01N001,AFTER_TAX_YIELD,42394,881,881,42394,881,bond_with_value,881,881,881,PERCENTAGE_POINT_PENDING,FIELD_POLICY_REQUIRED,ALLOWED_WITH_COVERAGE,BLOCKED,OPEN,
bond.preferential_tax_yield,bond,PRBD01N001,PREF_TAX_YIELD,42394,881,881,42394,881,bond_with_value,881,881,881,PERCENTAGE_POINT_PENDING,FIELD_POLICY_REQUIRED,ALLOWED_WITH_COVERAGE,BLOCKED,OPEN,
bond.avg_annual_tax_yield,bond,PRBD01N001,AVG_ANNUAL_TAX_YIELD,42394,881,0,42394,881,bond_with_value,881,881,0,PERCENTAGE_POINT_PENDING,UNUSABLE_CONSTANT,BLOCKED_CONSTANT,BLOCKED,LOCKED,881 present values all zero
